================================================================================
Testing learning rate: 0.0001
================================================================================

Using device: cuda
Loading training data...
Loading test data...
Starting training with learning rate: 0.0001, optimizer: adam
Epoch [10/15], Step [70/114], Loss: 0.4828
Epoch [10/15], Step [80/114], Loss: 0.2943
Epoch [10/15], Step [90/114], Loss: 0.4715
Epoch [10/15], Step [100/114], Loss: 0.3094
Epoch [10/15], Step [110/114], Loss: 0.3369
Epoch [10/15], Loss: 0.3440, Train Acc: 91.87%, Test Acc: 88.39%
Epoch [11/15], Step [10/114], Loss: 0.3076
Epoch [11/15], Step [20/114], Loss: 0.2906
Epoch [11/15], Step [30/114], Loss: 0.2220
Epoch [11/15], Step [40/114], Loss: 0.4181
Epoch [11/15], Step [50/114], Loss: 0.2925
Epoch [11/15], Step [60/114], Loss: 0.2049
Epoch [11/15], Step [70/114], Loss: 0.3222
Epoch [11/15], Step [80/114], Loss: 0.3708
Epoch [11/15], Step [90/114], Loss: 0.4672
Epoch [11/15], Step [100/114], Loss: 0.4363
Epoch [11/15], Step [110/114], Loss: 0.3355
Epoch [11/15], Loss: 0.3076, Train Acc: 92.62%, Test Acc: 89.29%
Epoch [12/15], Step [10/114], Loss: 0.4625
Epoch [12/15], Step [20/114], Loss: 0.3325
Epoch [12/15], Step [30/114], Loss: 0.3016
Epoch [12/15], Step [40/114], Loss: 0.2455
Epoch [12/15], Step [50/114], Loss: 0.2178
Epoch [12/15], Step [60/114], Loss: 0.2869
Epoch [12/15], Step [70/114], Loss: 0.2190
Epoch [12/15], Step [80/114], Loss: 0.2154
Epoch [12/15], Step [90/114], Loss: 0.2419
Epoch [12/15], Step [100/114], Loss: 0.2055
Epoch [12/15], Step [110/114], Loss: 0.2241
Epoch [12/15], Loss: 0.2778, Train Acc: 93.29%, Test Acc: 90.03%
Epoch [13/15], Step [10/114], Loss: 0.2863
Epoch [13/15], Step [20/114], Loss: 0.2706
Epoch [13/15], Step [30/114], Loss: 0.2433
Epoch [13/15], Step [40/114], Loss: 0.2189
Epoch [13/15], Step [50/114], Loss: 0.2404
Epoch [13/15], Step [60/114], Loss: 0.2468
Epoch [13/15], Step [70/114], Loss: 0.2339
Epoch [13/15], Step [80/114], Loss: 0.1983
Epoch [13/15], Step [90/114], Loss: 0.1921
Epoch [13/15], Step [100/114], Loss: 0.2735
Epoch [13/15], Step [110/114], Loss: 0.2482
Epoch [13/15], Loss: 0.2541, Train Acc: 93.98%, Test Acc: 90.53%
Epoch [14/15], Step [10/114], Loss: 0.2025
Epoch [14/15], Step [20/114], Loss: 0.3002
Epoch [14/15], Step [30/114], Loss: 0.2114
Epoch [14/15], Step [40/114], Loss: 0.2536
Epoch [14/15], Step [50/114], Loss: 0.2430
Epoch [14/15], Step [60/114], Loss: 0.2636
Epoch [14/15], Step [70/114], Loss: 0.2365
Epoch [14/15], Step [80/114], Loss: 0.2729
Epoch [14/15], Step [90/114], Loss: 0.3080
Epoch [14/15], Step [100/114], Loss: 0.1801
Epoch [14/15], Step [110/114], Loss: 0.2036
Epoch [14/15], Loss: 0.2340, Train Acc: 94.43%, Test Acc: 90.73%
Epoch [15/15], Step [10/114], Loss: 0.2428
Epoch [15/15], Step [20/114], Loss: 0.2691
Epoch [15/15], Step [30/114], Loss: 0.2887
Epoch [15/15], Step [40/114], Loss: 0.3075
Epoch [15/15], Step [50/114], Loss: 0.2692
Epoch [15/15], Step [60/114], Loss: 0.2483
Epoch [15/15], Step [70/114], Loss: 0.1927
Epoch [15/15], Step [80/114], Loss: 0.1575
Epoch [15/15], Step [90/114], Loss: 0.2111
Epoch [15/15], Step [100/114], Loss: 0.2338
Epoch [15/15], Step [110/114], Loss: 0.1932
Epoch [15/15], Loss: 0.2173, Train Acc: 94.86%, Test Acc: 91.28%
Training completed in 4.04 seconds
Training curves saved
Accuracy of digit 0: 97.49% (350/359)
Accuracy of digit 1: 96.59% (255/264)
Accuracy of digit 2: 87.37% (173/198)
Accuracy of digit 3: 84.94% (141/166)
Accuracy of digit 4: 90.00% (180/200)
Accuracy of digit 5: 88.12% (141/160)
Accuracy of digit 6: 93.53% (159/170)
Accuracy of digit 7: 89.80% (132/147)
Accuracy of digit 8: 83.13% (138/166)
Accuracy of digit 9: 92.09% (163/177)
Overall Test Accuracy: 91.28% (1832/2007)


================================================================================
Testing learning rate: 0.001
================================================================================

Using device: cuda
Loading training data...
Loading test data...
Starting training with learning rate: 0.001, optimizer: adam
Epoch [1/15], Step [10/114], Loss: 2.4020
Epoch [1/15], Step [20/114], Loss: 2.1881
Epoch [1/15], Step [30/114], Loss: 2.0872
Epoch [1/15], Step [40/114], Loss: 1.7735
Epoch [1/15], Step [50/114], Loss: 1.4155
Epoch [1/15], Step [60/114], Loss: 1.2614
Epoch [1/15], Step [70/114], Loss: 0.9374
Epoch [1/15], Step [80/114], Loss: 0.6409
Epoch [1/15], Step [90/114], Loss: 0.6342
Epoch [1/15], Step [100/114], Loss: 0.4911
Epoch [1/15], Step [110/114], Loss: 0.3811
Epoch [1/15], Loss: 1.3446, Train Acc: 60.46%, Test Acc: 87.24%
Epoch [2/15], Step [10/114], Loss: 0.4449
Epoch [2/15], Step [20/114], Loss: 0.2402
Epoch [2/15], Step [30/114], Loss: 0.3492
Epoch [2/15], Step [40/114], Loss: 0.2537
Epoch [2/15], Step [50/114], Loss: 0.3112
Epoch [2/15], Step [60/114], Loss: 0.3192
Epoch [2/15], Step [70/114], Loss: 0.2465
Epoch [2/15], Step [80/114], Loss: 0.1405
Epoch [2/15], Step [90/114], Loss: 0.1533
Epoch [2/15], Step [100/114], Loss: 0.1106
Epoch [2/15], Step [110/114], Loss: 0.1365
Epoch [2/15], Loss: 0.2684, Train Acc: 93.32%, Test Acc: 91.98%
Epoch [3/15], Step [10/114], Loss: 0.1886
Epoch [3/15], Step [20/114], Loss: 0.1982
Epoch [3/15], Step [30/114], Loss: 0.1672
Epoch [3/15], Step [40/114], Loss: 0.1083
