================================================================================
Testing initialization: Too Small Init
================================================================================

Using device: cuda
Loading training data...
Loading test data...
Starting training with initialization: normal, gain: 0.01, learning rate: 0.001
Epoch [10/15], Step [70/114], Loss: 0.0376
Epoch [10/15], Step [80/114], Loss: 0.0196
Epoch [10/15], Step [90/114], Loss: 0.1064
Epoch [10/15], Step [100/114], Loss: 0.0306
Epoch [10/15], Step [110/114], Loss: 0.0353
Epoch [10/15], Loss: 0.0358, Train Acc: 99.23%, Test Acc: 95.67%
Epoch [11/15], Step [10/114], Loss: 0.0406
Epoch [11/15], Step [20/114], Loss: 0.0230
Epoch [11/15], Step [30/114], Loss: 0.0094
Epoch [11/15], Step [40/114], Loss: 0.0292
Epoch [11/15], Step [50/114], Loss: 0.0164
Epoch [11/15], Step [60/114], Loss: 0.0109
Epoch [11/15], Step [70/114], Loss: 0.0239
Epoch [11/15], Step [80/114], Loss: 0.0585
Epoch [11/15], Step [90/114], Loss: 0.0469
Epoch [11/15], Step [100/114], Loss: 0.0475
Epoch [11/15], Step [110/114], Loss: 0.0349
Epoch [11/15], Loss: 0.0317, Train Acc: 99.31%, Test Acc: 95.76%
Epoch [12/15], Step [10/114], Loss: 0.0852
Epoch [12/15], Step [20/114], Loss: 0.0427
Epoch [12/15], Step [30/114], Loss: 0.0219
Epoch [12/15], Step [40/114], Loss: 0.0222
Epoch [12/15], Step [50/114], Loss: 0.0091
Epoch [12/15], Step [60/114], Loss: 0.0586
Epoch [12/15], Step [70/114], Loss: 0.0108
Epoch [12/15], Step [80/114], Loss: 0.0194
Epoch [12/15], Step [90/114], Loss: 0.0213
Epoch [12/15], Step [100/114], Loss: 0.0139
Epoch [12/15], Step [110/114], Loss: 0.0215
Epoch [12/15], Loss: 0.0279, Train Acc: 99.44%, Test Acc: 95.71%
Epoch [13/15], Step [10/114], Loss: 0.0301
Epoch [13/15], Step [20/114], Loss: 0.0226
Epoch [13/15], Step [30/114], Loss: 0.0207
Epoch [13/15], Step [40/114], Loss: 0.0099
Epoch [13/15], Step [50/114], Loss: 0.0153
Epoch [13/15], Step [60/114], Loss: 0.0317
Epoch [13/15], Step [70/114], Loss: 0.0230
Epoch [13/15], Step [80/114], Loss: 0.0077
Epoch [13/15], Step [90/114], Loss: 0.0168
Epoch [13/15], Step [100/114], Loss: 0.0174
Epoch [13/15], Step [110/114], Loss: 0.0099
Epoch [13/15], Loss: 0.0237, Train Acc: 99.59%, Test Acc: 96.01%
Epoch [14/15], Step [10/114], Loss: 0.0117
Epoch [14/15], Step [20/114], Loss: 0.0215
Epoch [14/15], Step [30/114], Loss: 0.0085
Epoch [14/15], Step [40/114], Loss: 0.0218
Epoch [14/15], Step [50/114], Loss: 0.0210
Epoch [14/15], Step [60/114], Loss: 0.0152
Epoch [14/15], Step [70/114], Loss: 0.0180
Epoch [14/15], Step [80/114], Loss: 0.0269
Epoch [14/15], Step [90/114], Loss: 0.0203
Epoch [14/15], Step [100/114], Loss: 0.0053
Epoch [14/15], Step [110/114], Loss: 0.0094
Epoch [14/15], Loss: 0.0209, Train Acc: 99.70%, Test Acc: 95.76%
Epoch [15/15], Step [10/114], Loss: 0.0147
Epoch [15/15], Step [20/114], Loss: 0.0167
Epoch [15/15], Step [30/114], Loss: 0.0332
Epoch [15/15], Step [40/114], Loss: 0.0191
Epoch [15/15], Step [50/114], Loss: 0.0140
Epoch [15/15], Step [60/114], Loss: 0.0957
Epoch [15/15], Step [70/114], Loss: 0.0131
Epoch [15/15], Step [80/114], Loss: 0.0114
Epoch [15/15], Step [90/114], Loss: 0.0121
Epoch [15/15], Step [100/114], Loss: 0.0123
Epoch [15/15], Step [110/114], Loss: 0.0079
Epoch [15/15], Loss: 0.0186, Train Acc: 99.71%, Test Acc: 95.76%
Training completed in 4.63 seconds
Training curves saved
Accuracy of digit 0: 98.33% (353/359)
Accuracy of digit 1: 97.35% (257/264)
Accuracy of digit 2: 95.45% (189/198)
Accuracy of digit 3: 92.17% (153/166)
Accuracy of digit 4: 94.00% (188/200)
Accuracy of digit 5: 95.00% (152/160)
Accuracy of digit 6: 97.65% (166/170)
Accuracy of digit 7: 95.92% (141/147)
Accuracy of digit 8: 93.37% (155/166)
Accuracy of digit 9: 97.74% (173/177)
Overall Test Accuracy: 96.01% (1927/2007)


================================================================================
Testing initialization: Effective Init
================================================================================

Using device: cuda
Loading training data...
Loading test data...
Starting training with initialization: kaiming_normal, gain: 1.0, learning rate: 0.001
Epoch [1/15], Step [10/114], Loss: 2.2133
Epoch [1/15], Step [20/114], Loss: 1.6523
Epoch [1/15], Step [30/114], Loss: 1.3682
Epoch [1/15], Step [40/114], Loss: 0.9740
Epoch [1/15], Step [50/114], Loss: 0.7357
Epoch [1/15], Step [60/114], Loss: 0.6747
Epoch [1/15], Step [70/114], Loss: 0.5172
Epoch [1/15], Step [80/114], Loss: 0.3918
Epoch [1/15], Step [90/114], Loss: 0.4552
Epoch [1/15], Step [100/114], Loss: 0.3642
Epoch [1/15], Step [110/114], Loss: 0.3041
Epoch [1/15], Loss: 0.9450, Train Acc: 76.18%, Test Acc: 89.84%
Epoch [2/15], Step [10/114], Loss: 0.3555
Epoch [2/15], Step [20/114], Loss: 0.1920
Epoch [2/15], Step [30/114], Loss: 0.3055
Epoch [2/15], Step [40/114], Loss: 0.2280
Epoch [2/15], Step [50/114], Loss: 0.2801
Epoch [2/15], Step [60/114], Loss: 0.2870
Epoch [2/15], Step [70/114], Loss: 0.2304
Epoch [2/15], Step [80/114], Loss: 0.1104
Epoch [2/15], Step [90/114], Loss: 0.1396
Epoch [2/15], Step [100/114], Loss: 0.1062
Epoch [2/15], Step [110/114], Loss: 0.1264
Epoch [2/15], Loss: 0.2349, Train Acc: 94.29%, Test Acc: 92.63%
Epoch [3/15], Step [10/114], Loss: 0.1764
Epoch [3/15], Step [20/114], Loss: 0.1617
Epoch [3/15], Step [30/114], Loss: 0.1455
Epoch [3/15], Step [40/114], Loss: 0.0883
Epoch [3/15], Step [50/114], Loss: 0.0860
Epoch [3/15], Step [60/114], Loss: 0.2238
Epoch [3/15], Step [70/114], Loss: 0.1055
Epoch [3/15], Step [80/114], Loss: 0.1812
Epoch [3/15], Step [90/114], Loss: 0.1899
Epoch [3/15], Step [100/114], Loss: 0.0827
Epoch [3/15], Step [110/114], Loss: 0.1183
Epoch [3/15], Loss: 0.1466, Train Acc: 96.50%, Test Acc: 93.52%
Epoch [4/15], Step [10/114], Loss: 0.1138
Epoch [4/15], Step [20/114], Loss: 0.1641
Epoch [4/15], Step [30/114], Loss: 0.1146
Epoch [4/15], Step [40/114], Loss: 0.1001
Epoch [4/15], Step [50/114], Loss: 0.1077
Epoch [4/15], Step [60/114], Loss: 0.0788
Epoch [4/15], Step [70/114], Loss: 0.0739
Epoch [4/15], Step [80/114], Loss: 0.0876
Epoch [4/15], Step [90/114], Loss: 0.0553
Epoch [4/15], Step [100/114], Loss: 0.0555
Epoch [4/15], Step [110/114], Loss: 0.0609
Epoch [4/15], Loss: 0.1064, Train Acc: 97.42%, Test Acc: 94.42%
Epoch [5/15], Step [10/114], Loss: 0.0970
Epoch [5/15], Step [20/114], Loss: 0.0875
Epoch [5/15], Step [30/114], Loss: 0.0755
Epoch [5/15], Step [40/114], Loss: 0.1193
Epoch [5/15], Step [50/114], Loss: 0.0492
Epoch [5/15], Step [60/114], Loss: 0.0869
Epoch [5/15], Step [70/114], Loss: 0.0638
Epoch [5/15], Step [80/114], Loss: 0.0473
Epoch [5/15], Step [90/114], Loss: 0.1072
Epoch [5/15], Step [100/114], Loss: 0.0546
Epoch [5/15], Step [110/114], Loss: 0.0478
Epoch [5/15], Loss: 0.0817, Train Acc: 98.16%, Test Acc: 94.82%
Epoch [6/15], Step [10/114], Loss: 0.1327
Epoch [6/15], Step [20/114], Loss: 0.0709
Epoch [6/15], Step [30/114], Loss: 0.1277
Epoch [6/15], Step [40/114], Loss: 0.0607
Epoch [6/15], Step [50/114], Loss: 0.0962
Epoch [6/15], Step [60/114], Loss: 0.0961
Epoch [6/15], Step [70/114], Loss: 0.0729
Epoch [6/15], Step [80/114], Loss: 0.0207
Epoch [6/15], Step [90/114], Loss: 0.0207
Epoch [6/15], Step [100/114], Loss: 0.0435
Epoch [6/15], Step [110/114], Loss: 0.0460
Epoch [6/15], Loss: 0.0658, Train Acc: 98.40%, Test Acc: 95.22%
Epoch [7/15], Step [10/114], Loss: 0.1210
Epoch [7/15], Step [20/114], Loss: 0.0388
Epoch [7/15], Step [30/114], Loss: 0.0330
Epoch [7/15], Step [40/114], Loss: 0.0647
Epoch [7/15], Step [50/114], Loss: 0.0600
Epoch [7/15], Step [60/114], Loss: 0.0324
Epoch [7/15], Step [70/114], Loss: 0.0849
Epoch [7/15], Step [80/114], Loss: 0.0437
Epoch [7/15], Step [90/114], Loss: 0.0611
Epoch [7/15], Step [100/114], Loss: 0.0520
Epoch [7/15], Step [110/114], Loss: 0.0554
Epoch [7/15], Loss: 0.0529, Train Acc: 98.83%, Test Acc: 95.27%
Epoch [8/15], Step [10/114], Loss: 0.0306
Epoch [8/15], Step [20/114], Loss: 0.0399
Epoch [8/15], Step [30/114], Loss: 0.0396
Epoch [8/15], Step [40/114], Loss: 0.0541
Epoch [8/15], Step [50/114], Loss: 0.0250
Epoch [8/15], Step [60/114], Loss: 0.0438
Epoch [8/15], Step [70/114], Loss: 0.0499
Epoch [8/15], Step [80/114], Loss: 0.0743
Epoch [8/15], Step [90/114], Loss: 0.0454
Epoch [8/15], Step [100/114], Loss: 0.0325
Epoch [8/15], Step [110/114], Loss: 0.0654
Epoch [8/15], Loss: 0.0457, Train Acc: 99.03%, Test Acc: 95.57%
Epoch [9/15], Step [10/114], Loss: 0.0372
Epoch [9/15], Step [20/114], Loss: 0.0191
Epoch [9/15], Step [30/114], Loss: 0.0201
Epoch [9/15], Step [40/114], Loss: 0.0134
Epoch [9/15], Step [50/114], Loss: 0.0438
Epoch [9/15], Step [60/114], Loss: 0.0122
Epoch [9/15], Step [70/114], Loss: 0.0156
Epoch [9/15], Step [80/114], Loss: 0.0128
Epoch [9/15], Step [90/114], Loss: 0.0402
Epoch [9/15], Step [100/114], Loss: 0.0142
Epoch [9/15], Step [110/114], Loss: 0.0192
Epoch [9/15], Loss: 0.0378, Train Acc: 99.23%, Test Acc: 95.42%
Epoch [10/15], Step [10/114], Loss: 0.0356
Epoch [10/15], Step [20/114], Loss: 0.0098
Epoch [10/15], Step [30/114], Loss: 0.0100
Epoch [10/15], Step [40/114], Loss: 0.0125
Epoch [10/15], Step [50/114], Loss: 0.0045
Epoch [10/15], Step [60/114], Loss: 0.0361
Epoch [10/15], Step [70/114], Loss: 0.0345
Epoch [10/15], Step [80/114], Loss: 0.0165
Epoch [10/15], Step [90/114], Loss: 0.0849
Epoch [10/15], Step [100/114], Loss: 0.0321
Epoch [10/15], Step [110/114], Loss: 0.0293
Epoch [10/15], Loss: 0.0324, Train Acc: 99.34%, Test Acc: 95.86%
Epoch [11/15], Step [10/114], Loss: 0.0327
Epoch [11/15], Step [20/114], Loss: 0.0222
Epoch [11/15], Step [30/114], Loss: 0.0079
Epoch [11/15], Step [40/114], Loss: 0.0213
Epoch [11/15], Step [50/114], Loss: 0.0188
Epoch [11/15], Step [60/114], Loss: 0.0117
Epoch [11/15], Step [70/114], Loss: 0.0172
Epoch [11/15], Step [80/114], Loss: 0.0480
Epoch [11/15], Step [90/114], Loss: 0.0385
Epoch [11/15], Step [100/114], Loss: 0.0480
Epoch [11/15], Step [110/114], Loss: 0.0234
Epoch [11/15], Loss: 0.0279, Train Acc: 99.38%, Test Acc: 95.71%
Epoch [12/15], Step [10/114], Loss: 0.0750
Epoch [12/15], Step [20/114], Loss: 0.0385
Epoch [12/15], Step [30/114], Loss: 0.0164
Epoch [12/15], Step [40/114], Loss: 0.0235
Epoch [12/15], Step [50/114], Loss: 0.0119
Epoch [12/15], Step [60/114], Loss: 0.0349
Epoch [12/15], Step [70/114], Loss: 0.0096
Epoch [12/15], Step [80/114], Loss: 0.0168
Epoch [12/15], Step [90/114], Loss: 0.0197
Epoch [12/15], Step [100/114], Loss: 0.0124
Epoch [12/15], Step [110/114], Loss: 0.0141
Epoch [12/15], Loss: 0.0244, Train Acc: 99.53%, Test Acc: 95.86%
Epoch [13/15], Step [10/114], Loss: 0.0339
Epoch [13/15], Step [20/114], Loss: 0.0181
Epoch [13/15], Step [30/114], Loss: 0.0213
Epoch [13/15], Step [40/114], Loss: 0.0101
Epoch [13/15], Step [50/114], Loss: 0.0155
Epoch [13/15], Step [60/114], Loss: 0.0264
Epoch [13/15], Step [70/114], Loss: 0.0172
Epoch [13/15], Step [80/114], Loss: 0.0049
Epoch [13/15], Step [90/114], Loss: 0.0239
Epoch [13/15], Step [100/114], Loss: 0.0187
Epoch [13/15], Step [110/114], Loss: 0.0078
Epoch [13/15], Loss: 0.0208, Train Acc: 99.70%, Test Acc: 96.11%
Epoch [14/15], Step [10/114], Loss: 0.0116
Epoch [14/15], Step [20/114], Loss: 0.0215
Epoch [14/15], Step [30/114], Loss: 0.0080
Epoch [14/15], Step [40/114], Loss: 0.0171
Epoch [14/15], Step [50/114], Loss: 0.0144
Epoch [14/15], Step [60/114], Loss: 0.0127
Epoch [14/15], Step [70/114], Loss: 0.0111
Epoch [14/15], Step [80/114], Loss: 0.0145
Epoch [14/15], Step [90/114], Loss: 0.0168
Epoch [14/15], Step [100/114], Loss: 0.0057
Epoch [14/15], Step [110/114], Loss: 0.0083
Epoch [14/15], Loss: 0.0182, Train Acc: 99.77%, Test Acc: 95.86%
Epoch [15/15], Step [10/114], Loss: 0.0117
Epoch [15/15], Step [20/114], Loss: 0.0138
Epoch [15/15], Step [30/114], Loss: 0.0210
Epoch [15/15], Step [40/114], Loss: 0.0300
Epoch [15/15], Step [50/114], Loss: 0.0142
Epoch [15/15], Step [60/114], Loss: 0.0661
Epoch [15/15], Step [70/114], Loss: 0.0106
Epoch [15/15], Step [80/114], Loss: 0.0077
